ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
339,"7161030189","071610301894","BACKWOODS 5PK ORIGINAL","5PK","1","0.00","0.000","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","8.00",8,"100.00",1,1,"B",0,"general",0,"78762",1,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
340,"7161030195","071610301955","BACKWOODS SINGLE ORIGINAL","EA","1","0.00","0.000","2.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","13.00",13,"100.00",1,0,"D",0,"general",0,"28903",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
341,"7161030192","071610301924","BACKWOODS 5PK SWEET AROMATIC","5PK","1","3.68","4.140","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","7.00",7,"47.43",0,0,"D",0,"general",0,"10395",8,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
342,"7161030198","071610301986","BACKWOODS SINGLE SWEET AROMATIC","EA","1","0.00","0.000","2.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","40.00",40,"100.00",0,0,"D",0,"general",0,"09775",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
343,"7161030203","071610302037","BACKWOODS SINGLE HONEY BERRY","EA","1","0.00","0.000","2.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","35.00",35,"100.00",1,1,"C",0,"general",0,"23870",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
344,"7161030272","071610302723","BACKWOODS 5PK DARK STOUT","5PK","1","0.00","0.000","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","6.00",6,"100.00",0,0,"D",0,"general",0,"90102",8,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
345,"7161030306","071610303065","BACKWOODS SINGLE RUSSIAN CREAM","EA","1","48.00","48.000","2.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","25.00",25,"-2300.00",1,1,"C",0,"general",0,"35239",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
346,"7161030279","071610302792","BACKWOODS 5PK RUSSIAN CREAM","5PK","1","3.72","3.720","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","2.00",2,"46.86",8,1,"B",0,"general",0,"26810",8,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
347,"7161049933","071610499331","DUTCH MASTERS 2PK PALMA","2PK","1","0.00","0.000","4.00",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","5.00",5,"100.00",0,0,"D",0,"general",0,"15906",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
348,"7161049949","071610499492","DUTCH MASTERS 3PK PALMA","3PK","1","1.66","1.660","3.50",,,,,"Tax","TOBACCO PRODUCTS",,"KARINA DROPPED MERCH","6.00",6,"52.57",10,8,"B",0,"general",0,"16839",10,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
349,"7161049953","071610499539","DUTCH MASTERS 3PK GREEN","3PK","1","0.00","0.000","3.50",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","2.00",2,"100.00",0,0,"D",0,"general",0,"89189",10,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
