Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
OLIT HOOKALIT PRO 60K MANGO FREEZE,7785560177,6977855601772,1,35.99,NICOTINE VAPES
SMOGGER 40K MIAMI MINT,1767316527,6917673165278,0,30.0,NICOTINE VAPES
SMOGGER 40K KIWI DRAGON BERRY,1767316524,6917673165247,1,30.0,NICOTINE VAPES
SMOGGER 40K BLUEBERRY WATERMELON,1767316539,6917673165391,1,30.0,NICOTINE VAPES
SMOGGER 40K STRAWBERRY KIWI,1767316533,6917673165339,1,30.0,NICOTINE VAPES
SMOGGER 40K MEXICO MANGO,1767316502,6917673165025,1,30.0,NICOTINE VAPES
SMOGGER GB 50K WATERMELON ICE,1767315504,6917673155040,1,25.0,NICOTINE VAPES
SMOGGER GB 50K BLACKBERRY BPOP,1767315760,6917673157600,1,25.0,NICOTINE VAPES
SMOGGER GB 50K BLUE RAZ ICE,1767315502,6917673155026,1,25.0,NICOTINE VAPES
SMOGGER GB 50K SOUR FCUKING FAB,1767315764,6917673157648,1,25.0,NICOTINE VAPES
SMOGGER GB 50K MIAMI MINT,1767315509,6917673155095,1,25.0,NICOTINE VAPES
SMOGGER SG 50K FROZEN BANANA,1767316821,6917673168217,1,25.0,NICOTINE VAPES
SMOGGER SG 50K STRAWBERRY PEACH GUSH,1767316841,6917673168415,0,25.0,NICOTINE VAPES
SMOGGER SG 50K NIGHT CRAWLER,1767316823,6917673168231,1,25.0,NICOTINE VAPES
SMOGGER SG 50K BLUE RAZ ICE,1767316819,6917673168194,1,25.0,NICOTINE VAPES
SMOGGER SG 50K STRAWBERRY BURST,1767316813,6917673168132,1,25.0,NICOTINE VAPES
PREMIUM LEAF GRABBA CHIPS DARK,0809305033,008093050339,0,3.0,TOBACCO PRODUCTS
PUFF LA PRE ROLL 0.5GR INDICA RAINBOW CHEWZ,9999986423,0000,23,8.0,THCA PRODUCTS
LEORANGE BETA HOOKAH TIPS BAG,9999919942,0000,3,7.0,HOOKAH RELATED
SMOGGER 40K POD SOUR APPLE ICE,1767315913,0000,5,20.0,NICOTINE VAPES
AFTER HOURS PRE ROLL 1.5GR PRSNLS OCTANE GAS INDICA,5005259404,0000,35,8.0,THCA PRODUCTS
DIAMOND  LIT PRE ROLL 2GR HYBRID APPLE GELATO,3488456743,234884567438,27,5.0,THCA PRODUCTS
BOOM BITEZ 2 PIECES 350MG,9999949927,0000,30,15.99,EDIBLES
AGNI PREMIUM HOOKAH PINK,9999999174,0000,1,96.0,HOOKAH RELATED
AGNI HOOKAH BOWL,9999913063,0000,1,12.99,HOOKAH RELATED
